individual,area,max_width,max_length,analyst
s_009_057_001_022,9.313,2.905,5.124,cheng
s_009_057_001_024,12.662,3.819,5.648,cheng
s_009_057_001_025,14.83,4.057,5.648,cheng
s_009_057_002_006,6.615,2.905,3.971,cheng
s_009_057_002_014,8.882,3.305,3.819,cheng
s_009_057_002_015,16.671,3.21,6.876,cheng
s_009_057_002_016,7.153,2.295,5.114,cheng
s_009_057_002_023,9.574,2.6,5.571,cheng
s_009_061_001_001,6.728,2.905,3.229,cheng
s_009_061_001_002,38.49,7.4,8.314,cheng
s_009_061_001_003,12.276,3.895,4.981,cheng
s_009_061_001_004,6.983,3.362,4.124,cheng
s_009_061_001_005,10.964,3.743,4.962,cheng
s_009_061_001_006,13.091,4.438,5.343,cheng
s_009_061_001_007,7.622,2.752,3.971,cheng
s_009_061_001_008,15.457,4.2,5.505,cheng
s_009_061_001_009,10.368,3.362,5.571,cheng
s_009_061_001_010,7.414,2.829,4.581,cheng
s_009_061_001_011,4.739,2.086,4.124,cheng
s_009_061_001_012,4.35,2.295,3.133,cheng
s_009_061_001_013,20.81,4.81,7.857,cheng
s_009_061_001_014,17.206,5.114,6.19,cheng
s_009_061_001_016,6.556,2.371,5.724,cheng
s_009_061_001_017,11.338,3.286,5.343,cheng
s_009_061_002_015,38.091,6.333,9.305,cheng
s_009_072_001_001,27.058,4.505,9.381,cheng
s_009_072_001_002,36.069,7.019,7.4,cheng
s_009_072_001_003,8.011,2.905,4.895,cheng
s_009_072_001_004,23.133,4.124,8.495,cheng
s_009_072_001_005,6.315,2.6,3.895,cheng
s_009_072_001_006,11.106,3.895,3.971,cheng
s_009_072_001_007,8.702,3.438,3.438,cheng
s_009_072_001_008,3.977,1.686,3.286,cheng
s_009_072_001_009,10.851,3.362,4.676,cheng
s_009_072_001_010,8.345,2.752,4.581,cheng
s_009_072_001_011,6.658,2.371,3.895,cheng
s_009_072_001_012,6.209,2.524,3.743,cheng
s_009_072_001_013,6.534,2.524,4.429,cheng
s_009_072_001_014,6.011,2.771,3.905,cheng
s_009_072_001_015,14.682,3.819,5.219,cheng
s_009_072_001_016,8.753,3.171,4.733,cheng
s_009_072_001_017,5.78,2.533,3.514,cheng
s_009_092_001_001,23.128,5.114,7.171,cheng
s_009_092_001_002,25.174,5.267,8.01,cheng
s_009_092_001_003,18.745,5.343,5.8,cheng
s_009_092_001_004,15.955,4.581,5.581,cheng
s_009_092_001_006,7.399,3.362,3.59,cheng
s_009_092_001_007,29.986,4.352,10.067,cheng
s_009_092_001_009,15.29,3.59,7.4,cheng
s_009_092_001_010,6.851,2.905,3.743,cheng
s_009_092_001_011,5.628,1.99,4.505,cheng
s_009_092_001_013,6.1,2.905,3.829,cheng
s_009_092_001_017,8.948,3.6,4.371,cheng
s_009_092_001_019,8.465,3.524,4.048,cheng
s_009_092_001_021,12.002,4.2,4.676,cheng
s_009_092_001_024,4.734,1.61,4.048,cheng
s_009_092_001_025,12.184,3.819,5.114,cheng
s_009_092_001_026,12.051,4.276,4.733,cheng
s_009_092_001_027,12.002,3.667,5.19,cheng
s_009_092_001_029,6.297,2.829,3.514,cheng
s_009_092_001_032,6.62,2.752,3.819,cheng
s_009_092_002_005,9.808,3.21,5.19,cheng
s_009_092_002_008,13.925,3.895,5.571,cheng
s_009_092_002_012,5.525,2.295,3.752,cheng
s_009_092_002_014,10.093,3.6,4.886,cheng
s_009_092_002_015,8.994,3.59,4.295,cheng
s_009_092_002_016,7.272,3.143,4.276,cheng
s_009_092_002_018,4.486,1.686,4.886,cheng
s_009_092_002_020,8.154,3.286,4.276,cheng
s_009_092_002_022,8.373,2.371,5.429,cheng
s_009_092_002_023,5.711,2.381,4.276,cheng
s_009_092_002_028,9.534,3.286,4.2,cheng
s_009_092_002_030,10.102,2.829,5.276,cheng
s_009_092_002_031,9.309,3.381,4.229,cheng
s_009_129_001_001,46.345,8.795,9.381,justin
s_009_129_001_002,48.83,7.952,9.557,justin
s_009_129_001_003,49.587,10.295,10.333,justin
s_009_129_001_004,35.443,6.867,8.61,justin
s_009_129_001_005,19.469,4.752,5.957,justin
s_009_129_001_006,18.606,7.571,7.524,justin
s_009_129_001_007,18.745,4.738,6.238,justin
s_009_129_001_008,13.982,4.238,5.105,justin
s_009_129_001_009,15.347,4.719,5.69,justin
s_009_129_001_010,14.97,4.524,5.3,justin
s_009_129_001_011,10.946,3.157,5.729,justin
s_009_129_001_012,17.381,3.581,6.4,justin
s_009_129_001_013,18.718,4.7,5.748,justin
s_009_129_001_014,17.207,5.795,6.2,justin
s_009_129_001_015,19.244,5.505,5.91,justin
s_009_129_001_016,6.765,3.471,3.467,justin
s_009_129_001_017,15.308,3.852,6.167,justin
s_009_129_001_018,10.047,3.41,4.21,justin
s_009_129_001_019,6.85,2.214,3.686,justin
s_009_129_001_020,3.394,1.324,4.119,justin
s_009_129_001_021,12.044,5.067,4.333,justin
s_009_129_001_022,9.205,3.743,5.19,justin
s_009_129_001_023,8.634,2.529,5.343,justin
s_009_129_001_024,7.208,3.414,3.995,justin
s_009_129_001_025,6.319,2.824,3.405,justin
s_009_129_001_026,8.885,3.41,4.271,justin
s_009_129_001_027,5.448,2.914,2.648,justin
s_009_129_001_028,5.572,2.333,3.481,justin
s_009_154_001_001,42.055,7.105,9.914,cheng
s_009_154_001_002,29.229,6.181,9,cheng
s_009_154_001_003,14.733,4.886,6.029,cheng
s_009_154_001_004,18.857,3.514,10.295,cheng
s_009_154_001_005,16.67,3.743,6.486,cheng
s_009_154_001_006,16.273,3.676,6.057,cheng
s_009_154_001_007,10.823,3.438,4.819,cheng
s_009_154_001_008,7.446,2.448,4.61,cheng
s_009_154_001_009,5.678,2.295,4.124,cheng
s_009_154_001_010,8.884,3.533,4.429,cheng
s_009_154_001_011,5.117,2.676,3.152,cheng
s_009_154_001_012,6.609,2.61,3.895,cheng
s_009_154_001_013,5.894,3.01,3.667,cheng
s_009_154_001_014,6.005,3.133,3.21,cheng
s_010_059_001_001,34.73,6.105,8.324,cheng
s_010_059_001_002,21.05,5.267,6.257,cheng
s_010_059_001_003,30.264,6.124,7.095,cheng
s_010_059_001_004,16.919,4.524,5.571,cheng
s_010_059_001_006,9.931,3.438,5.038,cheng
s_010_059_001_007,9.046,4.048,4.733,cheng
s_010_059_001_008,5.541,2.61,3.743,cheng
s_010_059_001_009,6.196,2.619,3.743,cheng
s_010_059_001_010,16.047,4.352,6.029,cheng
s_010_059_001_011,11.036,3.295,5.962,cheng
s_010_059_001_012,10.163,3.514,4.733,cheng
s_010_059_001_014,6.982,3.362,3.819,cheng
s_010_059_001_016,9.096,3.057,5.571,cheng
s_010_059_001_017,12.449,3.362,6.029,cheng
s_010_059_001_019,27.323,6.41,7.486,cheng
s_010_059_002_005,9.405,3.21,4.276,cheng
s_010_059_002_013,10.706,3.667,4.971,cheng
s_010_059_002_015,15.288,4.352,6.438,cheng
s_010_059_002_018,6.729,3.286,4.124,cheng
s_010_062_001_001,18.13,4.81,6.333,cheng
s_010_062_001_002,10.273,4.048,4.962,cheng
s_010_062_001_003,11.809,4.352,5.419,cheng
s_010_062_001_004,11.549,2.981,6.257,cheng
s_010_062_001_005,14.053,3.143,7.476,cheng
s_010_062_001_006,10.62,3.59,4.886,cheng
s_010_062_001_007,5.953,3.362,3.543,cheng
s_010_062_001_008,4.104,1.476,4.743,cheng
s_010_062_001_009,3.54,1.305,4.2,cheng
s_010_062_001_010,17.703,4.057,6.571,cheng
s_010_062_001_011,6.096,2.905,3.295,cheng
s_010_062_001_012,4.925,2.219,3.21,cheng
s_010_062_001_013,9.199,3.286,4.581,cheng
s_010_062_001_014,23.169,5.114,8.01,cheng
s_010_094_001_001,8.013,2.6,5.905,cheng
s_010_094_001_002,17.683,5.038,5.21,cheng
s_010_094_001_003,10.744,3.667,4.733,cheng
s_010_094_001_004,10.701,3.905,4.352,cheng
s_010_094_001_005,13.366,4.2,4.886,cheng
s_010_094_001_006,12.683,3.514,6.124,cheng
s_010_094_001_007,7.602,2.143,5.114,cheng
s_010_094_001_008,33.404,6.105,8.619,cheng
s_010_094_001_009,14.414,2.905,5.952,cheng
s_010_094_001_010,7.079,2.19,4.862,cheng
s_010_094_001_011,6.875,2.524,3.819,cheng
s_010_094_001_012,10.733,3.59,4.581,cheng
s_010_094_001_013,7.416,2.581,4.857,cheng
s_010_094_001_014,9.114,3.286,4.429,cheng
s_010_094_001_015,11.239,4.048,4.581,cheng
s_010_094_001_016,6.422,3.438,3.61,cheng
s_010_094_001_017,7.578,3.057,4.276,cheng
s_010_094_001_018,5.721,2.448,3.895,cheng
s_010_096_001_001,33.626,7.038,7.781,cheng
s_010_096_001_002,16.207,4.733,5.724,cheng
s_010_096_001_003,17.097,4.124,6.486,cheng
s_010_096_001_004,24.632,6.333,6.495,cheng
s_010_096_001_005,14.253,4.352,5.952,cheng
s_010_096_001_006,10.11,3.457,5.724,cheng
s_010_096_001_007,17.669,4.981,6.41,cheng
s_010_096_001_008,9.85,4.029,4.276,cheng
s_010_096_001_009,5.772,2.829,4.305,cheng
s_010_096_001_010,8.804,3.543,4.352,cheng
s_010_096_001_011,8.816,3.981,4.2,cheng
s_010_096_001_012,9.528,3.829,3.914,cheng
s_010_096_001_013,6.758,2.829,4.524,cheng
s_010_096_001_014,9.122,3.076,5.048,cheng
s_010_096_001_015,9.067,2.6,5.219,cheng
s_010_096_001_016,7.22,3.286,4.048,cheng
s_010_096_001_017,5.756,2.6,3.905,cheng
s_010_096_001_018,3.104,1.686,3.133,cheng
s_010_096_001_019,7.38,3.21,3.895,cheng
s_010_100_001_001,26.114,5.21,7.495,cheng
s_010_100_001_002,19.082,5.419,6.333,cheng
s_010_100_001_003,18.874,5.038,6.562,cheng
s_010_100_001_004,19.389,6.029,6.105,cheng
s_010_100_001_005,18.252,4.657,6.181,cheng
s_010_100_001_006,15.855,4.124,6.867,cheng
s_010_100_001_007,18.398,3.514,8.01,cheng
s_010_100_001_009,15.204,4.581,5.343,cheng
s_010_100_001_010,12.948,3.59,5.114,cheng
s_010_100_001_011,13.226,3.438,6.79,cheng
s_010_100_001_012,8.748,2.829,4.81,cheng
s_010_100_001_016,4.271,1.457,4.505,cheng
s_010_100_001_017,10.319,2.524,5.571,cheng
s_010_100_001_018,7.023,3.362,3.895,cheng
s_010_100_001_019,5.996,1.99,4.4,cheng
s_010_100_001_021,6.144,2.676,3.743,cheng
s_010_100_001_023,6.166,2.467,3.971,cheng
s_010_100_002_008,24.31,5.057,7.095,cheng
s_010_100_002_013,12.977,3.057,6.943,cheng
s_010_100_002_014,9.425,3.819,4.581,cheng
s_010_100_002_015,11.663,4.086,4.752,cheng
s_010_100_002_020,9.162,3.286,4.371,cheng
s_010_100_002_022,4.6,2,3.743,cheng
s_010_157_001_001,45.378,6.867,9.305,cheng
s_010_157_001_002,44.66,7.867,10.752,cheng
s_010_157_001_003,17.972,4.352,5.952,cheng
s_010_157_001_004,16.04,3.895,7.019,cheng
s_010_157_001_005,17.738,3.362,8.114,cheng
s_010_157_001_006,6.537,2.771,3.829,cheng
s_010_157_001_007,9.543,2.524,6.105,cheng
s_010_157_001_008,14.289,4.448,5.114,cheng
s_010_157_001_009,9.145,3.362,5.419,cheng
s_010_157_001_010,4.478,2.676,3.057,cheng
s_010_157_001_011,7.914,2.905,4.962,cheng
s_010_157_001_012,5.437,2.838,2.981,cheng
s_010_157_001_013,3.117,1.914,3.21,cheng
s_011_063_001_001,33.817,6.257,8.848,cheng
s_011_063_001_002,6.822,2.219,4.371,cheng
s_011_063_001_003,20.225,5.419,6.181,cheng
s_011_063_001_004,5.726,2.067,4.429,cheng
s_011_063_001_005,24.298,6.2,6.562,cheng
s_011_064_001_001,28.719,6.295,7.476,cheng
s_011_064_001_002,10.445,3.21,6.133,cheng
s_011_064_001_003,24.812,6.438,8.162,cheng
s_011_064_001_004,27.489,6.79,7.019,cheng
s_011_064_001_005,12.375,3.752,6.029,cheng
s_011_064_001_006,14.864,4.352,5.876,cheng
s_011_064_001_007,9.721,3.362,5.067,cheng
s_011_064_001_008,8.879,2.914,4.81,cheng
s_011_064_001_009,8.459,3.133,5.038,cheng
s_011_064_001_010,6.531,3.286,3.438,cheng
s_011_064_001_011,5.351,2.829,3.305,cheng
s_011_097_001_001,23.304,5.59,8.543,cheng
s_011_097_001_002,22.025,4.143,8.01,cheng
s_011_097_001_003,23.952,4.733,7.171,cheng
s_011_097_001_004,20.494,4.81,6.867,cheng
s_011_097_001_005,11.527,3.438,5.419,cheng
s_011_097_001_006,7.849,3.286,4.124,cheng
s_011_097_001_007,10.789,4.371,4.505,cheng
s_011_097_001_008,13.743,3.762,5.724,cheng
s_011_097_001_009,12.81,3.514,5.429,cheng
s_011_097_001_010,10.385,2.524,5.952,cheng
s_011_097_001_011,5.667,2.238,4.362,cheng
s_011_097_001_012,5.825,2.6,3.667,cheng
s_011_097_001_013,7.314,2.981,4.533,cheng
s_011_097_001_014,4.565,2.067,4.352,cheng
s_011_097_001_015,4.078,2.143,2.905,cheng
s_011_097_001_016,5.54,2.6,4.229,cheng
s_011_097_001_017,8.27,2.39,5.038,cheng
s_011_103_001_001,30.723,6.357,8.362,cheng
s_011_103_001_002,36.818,5.571,10.371,cheng
s_011_103_001_003,26.527,4.914,8.748,cheng
s_011_103_001_004,31.8,7.181,7.552,cheng
s_011_103_001_005,12.434,3.457,5.286,cheng
s_011_103_001_006,16.941,4.124,6.79,cheng
s_011_103_001_007,8.296,3.59,3.895,cheng
s_011_103_001_008,12.128,3.514,5.724,cheng
s_011_103_001_009,7.207,2.829,4.362,cheng
s_011_103_001_011,10.699,3.667,4.362,cheng
s_011_103_002_010,20.022,5.114,5.59,cheng
s_011_103_002_012,8.228,2.219,5.429,cheng
s_011_103_002_013,7.642,2.6,6.257,cheng
s_011_103_002_014,6.298,3.362,4.048,cheng
s_011_103_002_015,7.146,2.781,3.819,cheng
s_011_103_002_016,3.683,1.61,4.124,cheng
s_011_103_002_017,7.273,2.981,4.048,cheng
s_011_103_002_018,4.942,2.633,3.438,cheng
s_011_103_002_019,5.931,3.162,3.514,cheng
s_011_103_002_020,6.822,2.143,5.343,cheng
s_011_133_001_001,80.327,9.686,14.105,cheng
s_011_133_001_002,17.276,4.962,5.724,cheng
s_011_133_001_003,52.833,8.086,9.857,cheng
s_011_133_001_004,14.903,3.743,6.343,cheng
s_011_133_001_005,13.526,4.733,4.886,cheng
s_011_133_001_006,6.152,2.229,5.876,cheng
s_011_133_001_007,13.631,3.21,7.4,cheng
s_011_133_001_008,6.719,2.676,4.371,cheng
s_011_133_001_009,9.454,3.438,5.114,cheng
s_011_133_001_010,9.995,3.286,4.276,cheng
s_011_133_001_011,7.13,2.981,4.048,cheng
s_011_133_001_012,9.273,3.229,4.733,cheng
s_011_133_002_013,4.928,2.524,3.524,cheng
s_011_133_002_014,5.717,2.219,5.133,cheng
s_011_133_002_015,13.206,3.21,6.562,cheng
s_011_133_002_016,5.97,2.524,3.514,cheng
s_011_133_002_017,6.737,2.743,3.619,cheng
s_011_133_002_018,6.422,3.057,3.59,cheng
s_011_133_002_019,4.57,1.99,3.743,cheng
s_011_133_002_020,3.782,1.305,4.352,cheng
s_011_158_001_001,58.052,8.238,11.057,cheng
s_011_158_001_002,19.128,5.876,5.648,cheng
s_011_158_001_003,40.859,5.276,11.286,cheng
s_011_158_001_004,25.068,5.724,7.476,cheng
s_011_158_001_005,22.33,4.981,7.105,cheng
s_011_158_001_006,5.052,1.914,4.662,cheng
s_011_158_001_007,19.249,5.524,6.41,cheng
s_011_158_001_008,8.685,3.295,4.81,cheng
s_011_158_001_009,11.825,3.667,5.267,cheng
s_011_158_002_010,12.274,3.59,5.8,cheng
s_011_158_002_011,9.735,3.133,4.819,cheng
s_011_158_002_012,5.178,2.524,3.667,cheng
s_011_158_002_013,7.558,2.524,4.667,cheng
s_011_158_002_014,7.087,2.352,5.129,cheng
s_011_158_002_015,7.672,2.981,3.971,cheng
s_011_158_002_016,14.762,3.438,6.333,cheng
s_011_158_002_017,9.219,2.924,5.343,cheng
s_012_067_001_001,28.615,5.8,7.876,cheng
s_012_067_001_002,14.355,3.4,6.657,cheng
s_012_067_001_003,11.927,3.89,4.724,cheng
s_012_067_001_004,23.349,5.676,7.781,cheng
s_012_067_001_005,10.493,3.667,5.114,cheng
s_012_067_001_006,8.401,2.61,4.429,cheng
s_012_067_001_007,11.207,3.371,5.21,cheng
s_012_067_001_008,51.371,9.152,10,cheng
s_012_067_001_009,14.192,3.943,6.133,cheng
s_012_067_001_010,11.883,3.514,5.419,cheng
s_012_067_001_011,7.001,2.324,4.829,cheng
s_012_067_001_012,7.586,2.981,3.971,cheng
s_012_067_001_013,5.227,2.067,3.971,cheng
s_012_067_001_014,4.028,2.605,2.862,cheng
s_012_067_001_016,7.653,3.362,3.895,cheng
s_012_067_001_017,12.547,4.276,4.962,cheng
s_012_067_001_018,4.057,2.448,2.905,cheng
s_012_067_001_019,12.337,4.657,4.971,cheng
s_012_067_001_020,8.615,3.533,4.2,cheng
s_012_067_001_023,5.523,2.981,3.59,cheng
s_012_067_002_015,10.483,3.371,4.61,cheng
s_012_067_002_021,4.655,2.981,3.057,cheng
s_012_067_002_022,8.139,3.133,3.686,cheng
s_012_070_001_001,42.655,6.867,9.533,cheng
s_012_070_001_002,21.118,4.981,5.971,cheng
s_012_070_001_004,17.003,4.671,5.848,cheng
s_012_070_001_005,6.524,2.81,4.438,cheng
s_012_070_001_006,17.043,4.667,5.876,cheng
s_012_070_001_007,10.35,3.819,4.895,cheng
s_012_070_001_008,16.765,4.733,5.267,cheng
s_012_070_001_009,11.688,4.657,5.495,cheng
s_012_070_001_010,8.361,3.514,4.286,cheng
s_012_070_001_011,5.762,2.729,3.914,cheng
s_012_070_001_012,5.829,2.295,4.581,cheng
s_012_070_001_013,4.99,2.186,4.048,cheng
s_012_070_001_014,11.264,3.086,5.395,cheng
s_012_070_001_015,5.496,2.752,3.524,cheng
s_012_070_001_016,9.337,2.829,4.81,cheng
s_012_070_001_017,7.939,3.143,3.971,cheng
s_012_070_001_018,14.129,4.733,5.438,cheng
s_012_070_001_019,8.838,3.4,4.376,cheng
s_012_070_001_020,3.263,1.305,4.276,cheng
s_012_070_001_021,5.107,2.067,3.905,cheng
s_012_070_001_022,6.518,2.524,3.895,cheng
s_012_070_001_023,3.723,2.467,2.905,cheng
s_012_070_001_024,4.502,2.143,3.381,cheng
s_012_070_002_003,20.605,5.819,6.276,cheng
s_012_102_001_001,45.013,8.086,9.457,cheng
s_012_102_001_003,31.735,4.429,10.229,cheng
s_012_102_001_004,19.772,4.581,7.248,cheng
s_012_102_001_005,17.474,4.124,6.41,cheng
s_012_102_001_006,17.463,4.657,5.743,cheng
s_012_102_001_007,10.44,2.752,5.876,cheng
s_012_102_001_010,19.844,4.371,6.41,cheng
s_012_102_001_015,13.157,4.352,5.952,cheng
s_012_102_001_016,12.574,3.914,5.343,cheng
s_012_102_001_017,15.603,4.276,6.786,cheng
s_012_102_001_018,7.019,2.51,5.362,cheng
s_012_102_001_023,5.618,2.457,4.124,cheng
s_012_102_001_024,6.694,2.762,4.352,cheng
s_012_102_001_028,6.653,2.524,4.733,cheng
s_012_102_001_031,5.211,2.41,3.681,cheng
s_012_102_001_032,4.754,2.933,3.41,cheng
s_012_102_001_035,5.583,2.219,4.657,cheng
s_012_102_001_037,5.139,2.457,3.819,cheng
s_012_102_001_038,3.578,2.152,3.229,cheng
s_012_102_002_002,24.647,5.952,6.486,cheng
s_012_102_002_008,28.592,4.905,7.91,cheng
s_012_102_002_009,14.966,4.219,5.733,cheng
s_012_102_002_011,17.406,4.619,6.148,cheng
s_012_102_002_012,17.561,4.971,5.952,cheng
s_012_102_002_013,10.445,3.21,4.429,cheng
s_012_102_002_014,9.657,3.133,5.038,cheng
s_012_102_002_019,9.988,3.057,5.448,cheng
s_012_102_002_020,8.903,2.448,5.438,cheng
s_012_102_002_021,9.615,3.819,4.362,cheng
s_012_102_002_022,5.856,2.924,3.362,cheng
s_012_102_002_025,11.027,3.438,5.362,cheng
s_012_102_002_026,8.085,3.59,3.971,cheng
s_012_102_002_027,7.982,2.762,4.505,cheng
s_012_102_002_029,7.099,2.838,5.038,cheng
s_012_102_002_030,5.592,2.067,4.733,cheng
s_012_102_002_033,6.027,2.448,4.2,cheng
s_012_102_002_034,6.837,2.695,3.905,cheng
s_012_102_002_036,7.362,2.905,3.743,cheng
s_012_105_001_001,28.172,5.495,8.695,cheng
s_012_105_001_002,29.769,5.724,7.324,cheng
s_012_105_001_003,20.802,5.048,6.714,cheng
s_012_105_001_006,36.813,6.714,7.933,cheng
s_012_105_001_008,15.93,5.038,5.514,cheng
s_012_105_001_009,13.03,3.362,5.495,cheng
s_012_105_001_012,9.967,2.981,6.124,cheng
s_012_105_001_013,8.954,3.314,4.352,cheng
s_012_105_001_014,15.632,3.395,7.362,cheng
s_012_105_001_015,5.951,2.467,4.581,cheng
s_012_105_001_016,7.646,3.895,3.59,cheng
s_012_105_001_017,8.401,3.514,4.276,cheng
s_012_105_001_018,5.439,2.371,3.99,cheng
s_012_105_001_020,7.417,2.829,3.819,cheng
s_012_105_001_021,7.761,3.21,3.667,cheng
s_012_105_001_022,4.606,2.143,3.133,cheng
s_012_105_001_023,6.251,2.905,4.21,cheng
s_012_105_002_004,23.182,4.048,8.486,cheng
s_012_105_002_005,26.628,6.133,6.867,cheng
s_012_105_002_007,23.315,5.495,6.41,cheng
s_012_105_002_010,16.216,4.2,5.724,cheng
s_012_105_002_011,16.412,3.819,7.248,cheng
s_012_105_002_019,5.661,1.762,3.752,cheng
s_012_105_002_024,29.374,5.114,7.933,cheng
s_012_115_001_001,33.694,7.095,7.952,cheng
s_012_115_001_002,18.49,4.581,6.657,cheng
s_012_115_001_003,21.031,5.495,6.181,cheng
s_012_115_001_004,16.156,5.114,5.648,cheng
s_012_115_001_005,11.796,3.362,5.429,cheng
s_012_115_001_006,26.435,5.2,7.781,cheng
s_012_115_001_007,34.923,7.095,7.781,cheng
s_012_115_001_008,13.223,2.752,7.4,cheng
s_012_115_001_009,15.995,3.819,6.486,cheng
s_012_115_001_012,8.075,3.067,4.438,cheng
s_012_115_001_013,4.85,2.067,2.981,cheng
s_012_115_001_014,8.976,3.362,4.514,cheng
s_012_115_001_016,4.83,2,4.048,cheng
s_012_115_001_019,5.754,3.286,3.514,cheng
s_012_115_001_021,5.543,2.219,3.752,cheng
s_012_115_001_022,6.59,3.133,3.743,cheng
s_012_115_001_025,3.604,2.295,2.4,cheng
s_012_115_001_029,6.563,2.6,4.448,cheng
s_012_115_001_030,14.531,3.971,5.876,cheng
s_012_115_002_010,11.204,3.743,5.367,cheng
s_012_115_002_011,9.817,2.905,5.267,cheng
s_012_115_002_015,8.828,3.243,5.048,cheng
s_012_115_002_017,11.543,3.767,4.729,cheng
s_012_115_002_018,6.038,2.829,3.59,cheng
s_012_115_002_020,8.567,3.133,4.962,cheng
s_012_115_002_023,7.674,3.057,4.448,cheng
s_012_115_002_024,8.61,3.524,4.181,cheng
s_012_115_002_026,7.5,2.867,4.81,cheng
s_012_115_002_027,16.986,4.2,5.667,cheng
s_012_115_002_028,4.784,2.676,3.362,cheng
s_012_127_001_001,47.452,7.705,10.219,cheng
s_012_127_001_002,23.822,5.948,6.895,cheng
s_012_127_001_003,15.637,4.505,5.648,cheng
s_012_127_001_004,10.665,3.971,4.667,cheng
s_012_127_001_005,8.524,2.838,4.657,cheng
s_012_127_001_006,10.914,4.124,4.505,cheng
s_012_127_001_007,12.476,3.748,5.138,cheng
s_012_127_001_008,12.597,3.819,5.419,cheng
s_012_127_001_009,6.888,2.676,4.124,cheng
s_012_127_001_010,10.23,3.286,4.429,cheng
s_012_127_001_011,9.369,3.6,4.657,cheng
s_012_127_001_012,6.613,2.829,4.067,cheng
s_012_127_001_013,8.493,3.438,5.419,cheng
s_012_127_001_014,6.245,2.61,4.124,cheng
s_012_127_001_015,5.731,2.838,3.438,cheng
s_012_127_001_016,7.553,2.981,4.286,cheng
s_012_127_001_017,16.434,4.81,5.952,cheng
s_012_127_001_018,5.844,3,3.438,cheng
s_012_127_001_019,6.1,2.619,3.752,cheng
s_012_127_001_020,4.984,2.686,3.59,cheng
s_012_127_001_021,3.967,2.448,3.21,cheng
s_012_127_001_022,7.502,2.933,4.048,cheng
s_012_127_001_023,5.599,2.619,3.59,cheng
s_012_137_001_001,61.252,8.238,10.371,cheng
s_012_137_001_002,32.348,6.505,7.248,cheng
s_012_137_001_003,24.089,5.19,7.638,cheng
s_012_137_001_004,32.212,6.41,8.543,cheng
s_012_137_001_006,10.422,4.048,4.124,cheng
s_012_137_001_010,13.289,4.057,5.114,cheng
s_012_137_001_011,9.842,4.2,4.276,cheng
s_012_137_001_016,17.835,4.914,5.743,cheng
s_012_137_001_017,24.561,5.419,7.324,cheng
s_012_137_001_018,12.785,4.414,5.89,cheng
s_012_137_001_026,4.334,2.619,3.286,cheng
s_012_137_001_027,8.245,2.829,5.19,cheng
s_012_137_001_031,4.157,1.686,4.276,cheng
s_012_137_001_035,8.08,3.238,3.971,cheng
s_012_137_001_036,7.702,2.295,4.905,cheng
s_012_137_001_038,4.712,2.395,4.224,cheng
s_012_137_001_039,6.838,3.057,4.676,cheng
s_012_137_001_042,3.706,1.533,4.352,cheng
s_012_137_002_005,20.738,4.838,6.333,cheng
s_012_137_002_007,18.699,4.476,6.657,cheng
s_012_137_002_008,10.86,3.819,4.352,cheng
s_012_137_002_009,9.839,3.19,4.662,cheng
s_012_137_002_012,31.99,5.581,10.295,cheng
s_012_137_002_013,11.26,3.957,5.352,cheng
s_012_137_002_015,10.812,3.895,5.038,cheng
s_012_137_002_019,8.167,3.057,3.667,cheng
s_012_137_002_020,6.493,2.524,4.352,cheng
s_012_137_002_021,6.762,2.219,4.524,cheng
s_012_137_002_022,28.091,6.133,7.552,cheng
s_012_137_002_023,10.662,3.914,5.038,cheng
s_012_137_002_024,7.675,2.533,4.2,cheng
s_012_137_002_025,8.712,3.362,4.581,cheng
s_012_137_002_029,13.27,3.295,6.333,cheng
s_012_137_002_030,8.575,3.381,4.733,cheng
s_012_137_002_032,7.354,2.676,4.429,cheng
s_012_137_002_033,7.116,2.905,3.971,cheng
s_012_137_002_034,6.135,2.676,3.667,cheng
s_012_137_002_041,8.147,3.057,3.895,cheng
s_012_137_003_014,10.113,3.438,4.971,cheng
s_012_137_003_028,7.543,2.752,4.581,cheng
s_012_137_003_037,5.667,2.905,3.971,cheng
s_012_137_003_040,4.479,1.838,3.819,cheng
s_012_145_001_002,61.282,7.705,13.581,cheng
s_012_145_001_003,25.489,5.495,7.4,cheng
s_012_145_001_005,56.113,7.552,12.2,cheng
s_012_145_001_006,17.326,4.048,5.667,cheng
s_012_145_001_010,12.963,3.286,7.19,cheng
s_012_145_001_013,8.58,3.286,4.124,cheng
s_012_145_001_015,9.002,3.21,4.6,cheng
s_012_145_001_016,7.757,2.686,4.733,cheng
s_012_145_001_017,6.679,2.586,4.676,cheng
s_012_145_001_018,7.373,3.286,5.276,cheng
s_012_145_001_019,4.023,2.295,3.057,cheng
s_012_145_001_022,7.563,3.057,5.114,cheng
s_012_145_001_026,5.621,2.695,3.514,cheng
s_012_145_001_028,5.363,2.543,3.219,cheng
s_012_145_001_029,4.092,1.529,4.3,cheng
s_012_145_001_030,5.87,2.448,3.6,cheng
s_012_145_001_032,9.608,3.371,4.733,cheng
s_012_145_001_033,6.759,3.362,3.514,cheng
s_012_145_001_034,4.927,2.4,3.743,cheng
s_012_145_001_035,7.53,3.362,3.819,cheng
s_012_145_001_036,5.025,2.467,3.152,cheng
s_012_145_002_001,34.553,5.952,10.838,cheng
s_012_145_002_004,10.992,3.819,4.733,cheng
